日志时间,自运行起秒,账号,页面,阶段,键/标签,动作,结果,是否成功
2026-04-23 20:19:58,781.562,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_其他,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='其他']])[1]",是
2026-04-23 20:19:59,782.061,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_分账,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='分账']])[1]",是
2026-04-23 20:19:59,782.562,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_acct_type_服务消费,click,"xpath=(//div[contains(@class,'Container_container')]//div[contains(@class,'TAB_outerWrapper')]//div[contains(@class,'TAB_content')]/div/div[1]/div//label[.//*[contains(@class,'CBX_textWrapper')][normalize-space()='服务消费']])[1]",是
2026-04-23 20:20:00,783.071,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,pdd_cashier_query,click,#root div[class*='Container_container'] button:has-text('查询'),是
2026-04-23 20:20:08,790.926,根少家的小铺83,pdd_cashier_bills_reconcile,interaction,export_pdd_cashier_balance,click+download,D:\Program Files (x86)\fff2_dianshang\output\拼多多数据提取_20260423_200656_0ceb5ca6\downloads\拼多多数据提取_1_2026-04-22\根少家的小铺83_对账_2026-04-22_raw.zip,是
2026-04-23 20:20:11,794.762,胡小涛小店87,globalAccountLoop,nav,goto,open_url,https://mms.pinduoduo.com/login/,是
2026-04-23 20:20:11,794.765,胡小涛小店87,globalAccountLoop,account,switch,switchAccount,globalAccountLoop：锚点无需 UI 切店（如拼多多：店铺轮次由 pageIds 内登录与业务页完成）,是
2026-04-23 20:20:12,795.204,胡小涛小店87,pdd_login_switch,nav,goto,skip_same_url,https://mms.pinduoduo.com/login/,是
2026-04-23 20:20:13,796.603,胡小涛小店87,pdd_login_switch,interaction,pdd_login_tab_account,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.login-tab > div > div > div:nth-child(2),是
2026-04-23 20:20:14,797.285,胡小涛小店87,pdd_login_switch,interaction,pdd_input_username_current_account,input,#usernameId <- account_username,是
2026-04-23 20:20:14,797.893,胡小涛小店87,pdd_login_switch,interaction,pdd_click_login_submit,click,#root > div.pdd-app-skeleton > div > div > main > div > section.login-content > div > div > div > div.password-section > section > div > div > button,是
2026-04-23 20:20:19,802.300,胡小涛小店87,pdd_aftersale_export,nav,goto,open_url,https://mms.pinduoduo.com/print/after-sale-list,是
2026-04-23 20:20:34,817.577,胡小涛小店87,pdd_aftersale_export,interaction,pdd_close_print_ad_modal,click,"Locator.wait_for: Timeout 3000ms exceeded.
Call log:
  - waiting for locator(""div.MDL_outerWrapper_5-174-0 div[class*='closeIcon']"").first to be visible
",否
2026-04-23 20:20:35,818.823,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_time_type,selectFilter,已选择「售后申请时间」（候选: 售后申请时间）,是
2026-04-23 20:20:36,819.366,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_query,click,button:has-text('查询'),是
2026-04-23 20:20:37,820.823,胡小涛小店87,pdd_aftersale_export,interaction,pdd_aftersale_open_download_menu,click,button:has-text('下载数据'),是
2026-04-23 20:24:59,1082.361,胡小涛小店87,pdd_aftersale_export,interaction,export_pdd_aftersale_query_orders,click+download,"Locator.wait_for: Timeout 26000ms exceeded.
Call log:
  - waiting for locator(""[role='menuitem']:has-text('下载查询订单')"").first to be visible
",否
2026-04-23 20:25:02,1085.255,胡小涛小店87,pdd_trade_data_operation,nav,goto,open_url,https://mms.pinduoduo.com/sycm/stores_data/operation?dateFlag=0,是
2026-04-23 20:25:10,1092.920,胡小涛小店87,pdd_trade_data_operation,interaction,pdd_trade_scroll_to_bottom_before_page_size,scroll,window:end,是
2026-04-23 20:26:38,1181.707,胡小涛小店87,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_open,click,#mf-mms-sycm-container div[class*='select']:has-text('10'),是
2026-04-23 20:27:01,1204.283,胡小涛小店87,pdd_trade_data_operation,interaction,pdd_trade_table_page_size_50,click,li[role='option']:has-text('50'),是
2026-04-23 20:27:40,1243.507,胡小涛小店87,pdd_trade_data_operation,field,成交金额,extract:tableColumnAgg,1056.81  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col1 n=30 p=1 sum,是
2026-04-23 20:28:16,1279.795,胡小涛小店87,pdd_trade_data_operation,field,成交订单数,extract:tableColumnAgg,169  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col2 n=30 p=1 sum,是
2026-04-23 20:28:53,1316.065,胡小涛小店87,pdd_trade_data_operation,field,成交买家数,extract:tableColumnAgg,163.00  ← tableColumnAgg:#mf-mms-sycm-container > div > div > div > div:nth-child(5) > div.TB_outerWrapper_5-158-0.TB_bordered_5-158-0.TB_notTree#col3 n=30 p=1 sum,是
2026-04-23 20:28:53,1316.314,胡小涛小店87,pdd_trade_data_operation,field,客单价,extract:computedDivide,6.48  ← computedDivide:pdd_trade_amount/pdd_trade_buyer_count,是
2026-04-23 20:28:53,1316.668,胡小涛小店87,pdd_promotion_overview,nav,goto,open_url,https://yingxiao.pinduoduo.com/goods/report/promotion/overView?beginDate=2026-04-22&endDate=2026-04-22&msfrom=mms_sidenav,是
2026-04-23 20:28:58,1321.087,胡小涛小店87,pdd_promotion_overview,interaction,pdd_overview_switch_to_table,click,#page-container div[class*='TabRow_radioWrap'] label:has-text('表格'),是
2026-04-23 20:28:59,1322.783,胡小涛小店87,pdd_promotion_overview,interaction,pdd_overview_uncheck_compare_time,click,#page-container label.anq-checkbox-wrapper-checked:has-text('对比时间'),是
2026-04-23 20:29:03,1326.087,胡小涛小店87,pdd_promotion_overview,field,成本花费(元),extract:tableTotalByHeader,11.05  ← tableTotalByHeader:#page-container > div > div.OverviewInternal_contentWrapper__QeUQR > div > div.ReportOverview_wrap__oJSxK > div:nth-chil#col1 row=firstBodyRow hdr=成交花费(元),是
